frame_index,step_time,eps11_bc,eps11_fit,eps22_fit,gamma12_fit,du1_dy,du2_dx,theta_x_xmax_rad,wxy_fit_1_per_mm,kappa_xy_2wxy_1_per_mm,mean_u3_mm,max_abs_u_mm,max_abs_u3_mm,reaction_x_N
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
1,0.10000000149011612,0.0009999999776482583,0.0010009521729765238,-0.00030708475514981134,1.692036350332748e-07,-4.83156793441068e-07,6.523604284743428e-07,0.0010576452123229054,3.7912680102445646e-05,7.582536020489129e-05,-0.0004141785842995322,0.036408610444977896,0.01810608059167862,nan
2,0.20000000298023224,0.0019999999552965165,0.002001904345953314,-0.0006141695103068494,3.38407269244347e-07,-9.66313588279033e-07,1.30472085752338e-06,0.0021152904246417043,7.582536020549111e-05,0.00015165072041098223,-0.0008283571681363599,0.07281722088995579,0.03621216118335724,nan
3,0.30000001192092896,0.0030000001192092896,0.0030028565256965995,-0.0009212542653656248,5.076113112625475e-07,-1.4494700473922207e-06,1.957081358654768e-06,0.0031729356384543285,0.00011373804032032069,0.00022747608064064138,-0.0012425357511244718,0.10922583501059441,0.05431824177503586,nan
4,0.4000000059604645,0.003999999910593033,0.004003808691906628,-0.0012283390206136988,6.76814538488694e-07,-1.932627176558066e-06,2.60944171504676e-06,0.004230580849283409,0.0001516507204109829,0.0003033014408219658,-0.0016567143362728192,0.14563444177991158,0.07242432236671448,nan
5,0.5,0.005000000198682149,0.005004760875999257,-0.0015354237757430036,8.460184092685783e-07,-2.4157836181468987e-06,3.261802027415477e-06,0.005288226065475622,0.00018956340058304754,0.0003791268011660951,-0.0020708929203134764,0.18204305760595305,0.0905304029583931,nan
6,0.6000000238418579,0.006000000238418579,0.006005713051393199,-0.0018425085307312496,1.015222622525095e-06,-2.8989400947844413e-06,3.914162717309536e-06,0.006345871276908657,0.00022747608064063786,0.0004549521612812757,-0.002485071502250531,0.21845167002118882,0.10863648355007172,nan
7,0.699999988079071,0.006999999781449636,0.00700666520919829,-0.0021495932859466067,1.1844262688882987e-06,-3.382096452938053e-06,4.566522721826352e-06,0.00740351648930486,0.0002653887607922659,0.0005307775215845318,-0.0028992500905908715,0.2548602706513698,0.12674255669116974,nan
8,0.800000011920929,0.007999999821186066,0.008007617383813255,-0.0024566780412273977,1.353629076977388e-06,-3.865254353116132e-06,5.21888343009352e-06,0.008461161698566817,0.0003033014408219658,0.0006066028816439316,-0.0033134286725456383,0.29126888355982317,0.14484864473342896,nan
9,0.8999999761581421,0.00900000035762787,0.00900856957663962,-0.0027637627966710797,1.522833333153438e-06,-4.348410459177841e-06,5.871243792331279e-06,0.009518806906954044,0.00034121412091627526,0.0006824282418325505,-0.003727607256867404,0.3276775082533311,0.16295471787452698,nan
10,1.0,0.010000000397364298,0.010009521751998514,-0.0030708475514860073,1.6920368185371565e-06,-4.831567236293797e-06,6.523604054830954e-06,0.010576452130951245,0.0003791268011660951,0.0007582536023321902,-0.004141785840626953,0.3640861152119061,0.1810608059167862,nan
