frame_index,step_time,eps11_bc,y_mm,u3_mean_mm,u3_min_mm,u3_max_mm,n_nodes
0,0.0,0.0,0.0,0.0,0.0,0.0,6
0,0.0,0.0,0.15625,0.0,0.0,0.0,6
0,0.0,0.0,0.3125,0.0,0.0,0.0,8
0,0.0,0.0,0.46875,0.0,0.0,0.0,8
0,0.0,0.0,0.625,0.0,0.0,0.0,8
0,0.0,0.0,0.78125,0.0,0.0,0.0,8
0,0.0,0.0,0.9375,0.0,0.0,0.0,8
0,0.0,0.0,1.09375,0.0,0.0,0.0,8
0,0.0,0.0,1.25,0.0,0.0,0.0,10
0,0.0,0.0,1.40625,0.0,0.0,0.0,12
0,0.0,0.0,1.5625,0.0,0.0,0.0,12
0,0.0,0.0,1.71875,0.0,0.0,0.0,14
0,0.0,0.0,1.875,0.0,0.0,0.0,18
0,0.0,0.0,2.03125,0.0,0.0,0.0,26
0,0.0,0.0,2.1875,0.0,0.0,0.0,44
0,0.0,0.0,2.34375,0.0,0.0,0.0,65
0,0.0,0.0,2.5,0.0,0.0,0.0,65
0,0.0,0.0,2.65625,0.0,0.0,0.0,65
0,0.0,0.0,2.8125,0.0,0.0,0.0,44
0,0.0,0.0,2.96875,0.0,0.0,0.0,26
0,0.0,0.0,3.125,0.0,0.0,0.0,18
0,0.0,0.0,3.28125,0.0,0.0,0.0,14
0,0.0,0.0,3.4375,0.0,0.0,0.0,12
0,0.0,0.0,3.59375,0.0,0.0,0.0,12
0,0.0,0.0,3.75,0.0,0.0,0.0,10
0,0.0,0.0,3.90625,0.0,0.0,0.0,8
0,0.0,0.0,4.0625,0.0,0.0,0.0,8
0,0.0,0.0,4.21875,0.0,0.0,0.0,8
0,0.0,0.0,4.375,0.0,0.0,0.0,8
0,0.0,0.0,4.53125,0.0,0.0,0.0,8
0,0.0,0.0,4.6875,0.0,0.0,0.0,7
0,0.0,0.0,4.84375,0.0,0.0,0.0,6
0,0.0,0.0,5.0,0.0,0.0,0.0,6
0,0.0,0.0,5.15625,0.0,0.0,0.0,6
0,0.0,0.0,5.3125,0.0,0.0,0.0,8
0,0.0,0.0,5.46875,0.0,0.0,0.0,8
0,0.0,0.0,5.625,0.0,0.0,0.0,8
0,0.0,0.0,5.78125,0.0,0.0,0.0,8
0,0.0,0.0,5.9375,0.0,0.0,0.0,8
0,0.0,0.0,6.09375,0.0,0.0,0.0,8
0,0.0,0.0,6.25,0.0,0.0,0.0,10
0,0.0,0.0,6.40625,0.0,0.0,0.0,12
0,0.0,0.0,6.5625,0.0,0.0,0.0,12
0,0.0,0.0,6.71875,0.0,0.0,0.0,14
0,0.0,0.0,6.875,0.0,0.0,0.0,18
0,0.0,0.0,7.03125,0.0,0.0,0.0,26
0,0.0,0.0,7.1875,0.0,0.0,0.0,42
0,0.0,0.0,7.34375,0.0,0.0,0.0,65
0,0.0,0.0,7.5,0.0,0.0,0.0,65
0,0.0,0.0,7.65625,0.0,0.0,0.0,65
0,0.0,0.0,7.8125,0.0,0.0,0.0,44
0,0.0,0.0,7.96875,0.0,0.0,0.0,26
0,0.0,0.0,8.125,0.0,0.0,0.0,18
0,0.0,0.0,8.28125,0.0,0.0,0.0,14
0,0.0,0.0,8.4375,0.0,0.0,0.0,12
0,0.0,0.0,8.59375,0.0,0.0,0.0,12
0,0.0,0.0,8.75,0.0,0.0,0.0,10
0,0.0,0.0,8.90625,0.0,0.0,0.0,8
0,0.0,0.0,9.0625,0.0,0.0,0.0,8
0,0.0,0.0,9.21875,0.0,0.0,0.0,8
0,0.0,0.0,9.375,0.0,0.0,0.0,8
0,0.0,0.0,9.53125,0.0,0.0,0.0,8
0,0.0,0.0,9.6875,0.0,0.0,0.0,7
0,0.0,0.0,9.84375,0.0,0.0,0.0,6
0,0.0,0.0,10.0,0.0,0.0,0.0,6
0,0.0,0.0,10.15625,0.0,0.0,0.0,6
0,0.0,0.0,10.3125,0.0,0.0,0.0,8
0,0.0,0.0,10.46875,0.0,0.0,0.0,8
0,0.0,0.0,10.625,0.0,0.0,0.0,8
0,0.0,0.0,10.78125,0.0,0.0,0.0,8
0,0.0,0.0,10.9375,0.0,0.0,0.0,8
0,0.0,0.0,11.09375,0.0,0.0,0.0,8
0,0.0,0.0,11.25,0.0,0.0,0.0,10
0,0.0,0.0,11.40625,0.0,0.0,0.0,12
0,0.0,0.0,11.5625,0.0,0.0,0.0,12
0,0.0,0.0,11.71875,0.0,0.0,0.0,14
0,0.0,0.0,11.875,0.0,0.0,0.0,18
0,0.0,0.0,12.03125,0.0,0.0,0.0,26
0,0.0,0.0,12.1875,0.0,0.0,0.0,42
0,0.0,0.0,12.34375,0.0,0.0,0.0,65
0,0.0,0.0,12.5,0.0,0.0,0.0,65
0,0.0,0.0,12.65625,0.0,0.0,0.0,65
0,0.0,0.0,12.8125,0.0,0.0,0.0,44
0,0.0,0.0,12.96875,0.0,0.0,0.0,26
0,0.0,0.0,13.125,0.0,0.0,0.0,18
0,0.0,0.0,13.28125,0.0,0.0,0.0,14
0,0.0,0.0,13.4375,0.0,0.0,0.0,12
0,0.0,0.0,13.59375,0.0,0.0,0.0,12
0,0.0,0.0,13.75,0.0,0.0,0.0,10
0,0.0,0.0,13.90625,0.0,0.0,0.0,8
0,0.0,0.0,14.0625,0.0,0.0,0.0,8
0,0.0,0.0,14.21875,0.0,0.0,0.0,8
0,0.0,0.0,14.375,0.0,0.0,0.0,8
0,0.0,0.0,14.53125,0.0,0.0,0.0,8
0,0.0,0.0,14.6875,0.0,0.0,0.0,7
0,0.0,0.0,14.84375,0.0,0.0,0.0,6
0,0.0,0.0,15.0,0.0,0.0,0.0,6
0,0.0,0.0,15.15625,0.0,0.0,0.0,6
