group,label,topology,target_core_density,achieved_voxel_fraction_min,achieved_voxel_fraction_max,actual_skin_ratio_min,actual_skin_ratio_max,A11_Nz1,A11_LVS_Nz1,A11_error_Nz1_pct,D11_Nz1,D11_LVS_Nz1,D11_error_Nz1_pct,last_nz,A11_error_last_pct,D11_error_last_pct
density,$\rho=0.10$,Gyroid,0.100000,0.100000,0.100025,0.000000,0.000000,266.448171,419.821282,-36.532953,858.092159,3498.51068,-75.472644,12,-3.059660,-9.024065
density,$\rho=0.15$,Gyroid,0.150000,0.150002,0.150056,0.000000,0.000000,431.611443,647.890504,-33.382039,1735.85129,5399.08754,-67.849173,12,-2.827198,-8.225873
density,$\rho=0.20$,Gyroid,0.200000,0.200002,0.200114,0.000000,0.000000,646.3194,936.170932,-30.961390,2927.72222,7801.42443,-62.471953,10,-3.039217,-8.914420
topology,BCC,BCC,0.150000,0.150157,0.150734,0.000000,0.000000,71.6145066,79.325026,-9.720160,644.590283,661.041883,-2.488738,12,-1.623869,-2.845462
topology,Diamond,Diamond,0.150000,0.150006,0.150038,0.000000,0.000000,745.672007,819.221914,-8.978020,5615.19727,6826.84928,-17.748334,12,-0.737288,-2.209740
topology,Gyroid,Gyroid,0.150000,0.150002,0.150056,0.000000,0.000000,431.611443,647.890504,-33.382039,1735.85129,5399.08754,-67.849173,12,-2.827198,-8.225873
topology,I-WP,I-WP,0.150000,0.150000,0.150029,0.000000,0.000000,552.979612,601.436572,-8.056869,3630.79248,5011.97143,-27.557598,12,-0.779295,-2.080521
topology,Primitive,Primitive,0.150000,0.150002,0.150065,0.000000,0.000000,350.760514,396.870159,-11.618320,2204.60192,3307.25132,-33.340357,12,-0.990491,-2.815130
skin,$t_s/h=0.00$,Gyroid,0.150000,0.150002,0.150056,0.000000,0.000000,431.611443,647.890504,-33.382039,1735.85129,5399.08754,-67.849173,8,-4.239145,-12.112682
skin,$t_s/h=0.05$,Gyroid,0.150000,0.230190,0.244494,0.047170,0.055556,2154.90124,2114.36422,1.917220,38537.5515,38138.2641,1.046947,8,1.914696,0.814800
skin,$t_s/h=0.10$,Gyroid,0.150000,0.320001,0.320045,0.100000,0.100000,3366.88962,3287.54317,2.413548,59648.7668,59072.0251,0.976336,8,2.038300,0.648457
