group,label,topology,relative_density,requested_skin_ratio,actual_skin_ratio,skin_layers_each_side,nz,resolution,voxel_nx,voxel_ny,voxel_nz,active_fraction,A11,D11,geometry_time_s,solve_time_s,total_time_s
topology,Gyroid,Gyroid,0.15,0,0,0,1,48,48,48,48,0.15005606,431.611443189,1735.8512932,0.0048814,16.0445,16.0494
topology,Gyroid,Gyroid,0.15,0,0,0,2,48,48,48,96,0.15000181,538.721829667,3136.44904893,0.0122182,23.306,23.3182
topology,Gyroid,Gyroid,0.15,0,0,0,3,48,48,48,144,0.15000181,574.981674229,3789.43156066,0.0198007,35.968,35.9878
topology,Gyroid,Gyroid,0.15,0,0,0,4,48,48,48,192,0.15002215,593.185372281,4153.57984236,0.0225187,52.494,52.5165
topology,Gyroid,Gyroid,0.15,0,0,0,5,48,48,48,240,0.15004521,604.187003053,4384.82098593,0.0331783,69.4728,69.506
topology,Gyroid,Gyroid,0.15,0,0,0,6,48,48,48,288,0.15000181,611.268439988,4541.67239494,0.034022,89.7829,89.8169
topology,Gyroid,Gyroid,0.15,0,0,0,8,48,48,48,384,0.15000746,620.425489085,4745.11322488,0.0481802,138.138,138.186
topology,Gyroid,Gyroid,0.15,0,0,0,10,48,48,48,480,0.15001266,625.930661773,4870.54940015,0.0577325,175.127,175.184
topology,Gyroid,Gyroid,0.15,0,0,0,12,48,48,48,576,0.15001085,629.573354864,4954.96543447,0.0821563,203.384,203.467
topology,Diamond,Diamond,0.15,0,0,0,1,48,48,48,48,0.15001085,745.672006778,5615.19727399,0.0034427,8.26417,8.26761
topology,Diamond,Diamond,0.15,0,0,0,2,48,48,48,96,0.15003798,782.497927092,6067.89117987,0.0106904,12.8491,12.8598
topology,Diamond,Diamond,0.15,0,0,0,3,48,48,48,144,0.15003195,794.787850417,6286.49819177,0.0172738,21.5539,21.5712
topology,Diamond,Diamond,0.15,0,0,0,4,48,48,48,192,0.1500312,800.958569637,6408.06239567,0.0218035,32.3949,32.4167
topology,Diamond,Diamond,0.15,0,0,0,5,48,48,48,240,0.15003798,804.68246984,6484.8308937,0.0285437,44.7507,44.7792
topology,Diamond,Diamond,0.15,0,0,0,6,48,48,48,288,0.15000633,807.020849126,6535.76610418,0.0337396,58.1383,58.172
topology,Diamond,Diamond,0.15,0,0,0,8,48,48,48,384,0.15003233,810.167403345,6604.52346826,0.0538481,88.474,88.5279
topology,Diamond,Diamond,0.15,0,0,0,10,48,48,48,480,0.15000995,811.958414291,6647.25593925,0.0551614,117.195,117.25
topology,Diamond,Diamond,0.15,0,0,0,12,48,48,48,576,0.1500101,813.181892525,6675.993664,0.0680732,154.093,154.161
topology,Primitive,Primitive,0.15,0,0,0,1,48,48,48,48,0.1500651,350.760513557,2204.60191644,0.0023389,8.59366,8.596
topology,Primitive,Primitive,0.15,0,0,0,2,48,48,48,96,0.15001989,374.432644107,2747.53034444,0.0064404,14.7711,14.7775
topology,Primitive,Primitive,0.15,0,0,0,3,48,48,48,144,0.15000482,381.797972585,2934.56956806,0.0100832,23.9939,24.004
topology,Primitive,Primitive,0.15,0,0,0,4,48,48,48,192,0.15000633,385.5067631,3028.71462715,0.0140488,32.5127,32.5268
topology,Primitive,Primitive,0.15,0,0,0,5,48,48,48,240,0.15000723,387.740790521,3083.99320468,0.0160354,40.3357,40.3517
topology,Primitive,Primitive,0.15,0,0,0,6,48,48,48,288,0.15000482,389.204608074,3121.65629671,0.0189429,51.4748,51.4938
topology,Primitive,Primitive,0.15,0,0,0,8,48,48,48,384,0.15001311,391.094811543,3168.16411747,0.0269376,77.1392,77.1661
topology,Primitive,Primitive,0.15,0,0,0,10,48,48,48,480,0.15000181,392.160083453,3195.31943253,0.031533,105.828,105.859
topology,Primitive,Primitive,0.15,0,0,0,12,48,48,48,576,0.15000784,392.93919426,3214.14791345,0.0381047,142.842,142.88
topology,I-WP,I-WP,0.15,0,0,0,1,48,48,48,48,0.15002894,552.979612427,3630.79247518,0.0059025,10.0218,10.0277
topology,I-WP,I-WP,0.15,0,0,0,2,48,48,48,96,0.15001085,577.348097504,4376.53117743,0.0192425,15.7478,15.7671
topology,I-WP,I-WP,0.15,0,0,0,3,48,48,48,144,0.15000482,585.088007287,4597.56268718,0.0259263,20.7471,20.7731
topology,I-WP,I-WP,0.15,0,0,0,4,48,48,48,192,0.15000181,588.924184762,4703.38161842,0.0383459,28.2722,28.3106
topology,I-WP,I-WP,0.15,0,0,0,5,48,48,48,240,0.15000362,591.288580742,4765.99509377,0.0519674,35.941,35.993
topology,I-WP,I-WP,0.15,0,0,0,6,48,48,48,288,0.15000181,592.903479976,4808.29454145,0.0444242,37.9829,38.0274
topology,I-WP,I-WP,0.15,0,0,0,8,48,48,48,384,0.15000746,594.982165844,4860.38840651,0.0629672,50.5764,50.6394
topology,I-WP,I-WP,0.15,0,0,0,10,48,48,48,480,0.15000362,596.054751923,4887.66212955,0.0807796,66.4109,66.4917
topology,I-WP,I-WP,0.15,0,0,0,12,48,48,48,576,0.1500003,596.749607206,4907.69633455,0.100844,84.0958,84.1967
topology,BCC,BCC,0.15,0,0,0,1,48,48,48,48,0.15073423,71.6145066483,644.590283172,0.0087841,12.5772,12.586
topology,BCC,BCC,0.15,0,0,0,2,48,48,48,96,0.15049009,75.2002108148,624.155680742,0.0223392,19.1658,19.1881
topology,BCC,BCC,0.15,0,0,0,3,48,48,48,144,0.15033034,76.2718573459,622.712693326,0.0333223,42.6098,42.6432
topology,BCC,BCC,0.15,0,0,0,4,48,48,48,192,0.15025047,76.8398374026,626.292579041,0.0494348,150.675,150.725
topology,BCC,BCC,0.15,0,0,0,5,48,48,48,240,0.15023329,77.2029132232,630.139712146,0.0503294,213.044,213.094
topology,BCC,BCC,0.15,0,0,0,6,48,48,48,288,0.15022184,77.448964887,633.149751463,0.0796553,233.685,233.764
topology,BCC,BCC,0.15,0,0,0,8,48,48,48,384,0.15020752,77.756530151,637.469024811,0.106493,250.437,250.544
topology,BCC,BCC,0.15,0,0,0,10,48,48,48,480,0.15017723,77.9251017327,640.160253602,0.104177,746.106,746.21
topology,BCC,BCC,0.15,0,0,0,12,48,48,48,576,0.15015703,78.0368912735,642.232189937,0.128267,941.924,942.052
density,$\rho=0.10$,Gyroid,0.1,0,0,0,1,48,48,48,48,0.10001628,266.448170538,858.092159269,0.0035823,21.5331,21.5367
density,$\rho=0.10$,Gyroid,0.1,0,0,0,2,48,48,48,96,0.10002532,342.15375841,1884.21539643,0.009853,69.0039,69.0137
density,$\rho=0.10$,Gyroid,0.1,0,0,0,3,48,48,48,144,0.10000422,368.043997275,2349.68297975,0.0152752,123.808,123.824
density,$\rho=0.10$,Gyroid,0.1,0,0,0,4,48,48,48,192,0.10000045,381.019650274,2609.54551235,0.0273602,153.854,153.881
density,$\rho=0.10$,Gyroid,0.1,0,0,0,5,48,48,48,240,0.10000543,388.782905364,2774.61846083,0.0248229,186.867,186.892
density,$\rho=0.10$,Gyroid,0.1,0,0,0,6,48,48,48,288,0.10000121,393.911003418,2887.88082006,0.0307558,336.719,336.75
density,$\rho=0.10$,Gyroid,0.1,0,0,0,8,48,48,48,384,0.10000045,400.330277768,3032.70445973,0.0469384,591.521,591.568
density,$\rho=0.10$,Gyroid,0.1,0,0,0,10,48,48,48,480,0.10000271,404.253984288,3122.09692764,0.0549038,885.287,885.342
density,$\rho=0.10$,Gyroid,0.1,0,0,0,12,48,48,48,576,0.10000045,406.976178955,3182.80279966,0.0657729,1087.32,1087.38
density,$\rho=0.15$,Gyroid,0.15,0,0,0,1,48,48,48,48,0.15005606,431.611443189,1735.8512932,0.0049338,39.5854,39.5903
density,$\rho=0.15$,Gyroid,0.15,0,0,0,2,48,48,48,96,0.15000181,538.721829667,3136.44904893,0.0116126,91.5472,91.5588
density,$\rho=0.15$,Gyroid,0.15,0,0,0,3,48,48,48,144,0.15000181,574.981674229,3789.43156066,0.0187075,178.906,178.925
density,$\rho=0.15$,Gyroid,0.15,0,0,0,4,48,48,48,192,0.15002215,593.185372281,4153.57984236,0.0262755,230.607,230.633
density,$\rho=0.15$,Gyroid,0.15,0,0,0,5,48,48,48,240,0.15004521,604.187003053,4384.82098593,0.0317182,239.344,239.375
density,$\rho=0.15$,Gyroid,0.15,0,0,0,6,48,48,48,288,0.15000181,611.268439988,4541.67239494,0.0374208,387.778,387.815
density,$\rho=0.15$,Gyroid,0.15,0,0,0,8,48,48,48,384,0.15000746,620.425489085,4745.11322488,0.0455887,697.959,698.005
density,$\rho=0.15$,Gyroid,0.15,0,0,0,10,48,48,48,480,0.15001266,625.930661773,4870.54940015,0.0624152,967.209,967.272
density,$\rho=0.15$,Gyroid,0.15,0,0,0,12,48,48,48,576,0.15001085,629.573354864,4954.96543447,0.0623205,1368.48,1368.54
density,$\rho=0.20$,Gyroid,0.2,0,0,0,1,48,48,48,48,0.20011393,646.319399895,2927.72221686,0.0039852,35.4211,35.4251
density,$\rho=0.20$,Gyroid,0.2,0,0,0,2,48,48,48,96,0.20000543,790.242728844,4780.3652899,0.0103653,105.396,105.406
density,$\rho=0.20$,Gyroid,0.2,0,0,0,3,48,48,48,144,0.20006872,839.668776296,5659.06628796,0.014943,157.575,157.59
density,$\rho=0.20$,Gyroid,0.2,0,0,0,4,48,48,48,192,0.20002125,863.900458825,6144.76650335,0.0206592,252.187,252.208
density,$\rho=0.20$,Gyroid,0.2,0,0,0,5,48,48,48,240,0.20000181,878.450124996,6452.3943356,0.0263388,400.868,400.894
density,$\rho=0.20$,Gyroid,0.2,0,0,0,6,48,48,48,288,0.20004612,888.377101662,6663.03709723,0.0306521,642.982,643.012
density,$\rho=0.20$,Gyroid,0.2,0,0,0,8,48,48,48,384,0.20001108,900.217082391,6934.57052367,0.0408932,990.655,990.696
density,$\rho=0.20$,Gyroid,0.2,0,0,0,10,48,48,48,480,0.20003074,907.718669822,7105.97269972,0.0517804,1090.59,1090.64
skin,$t_s/h=0.00$,Gyroid,0.15,0,0,0,1,48,48,48,48,0.15005606,431.611443189,1735.8512932,0.0045861,14.1322,14.1368
skin,$t_s/h=0.00$,Gyroid,0.15,0,0,0,2,48,48,48,96,0.15000181,538.721829667,3136.44904893,0.010542,22.4414,22.4519
skin,$t_s/h=0.00$,Gyroid,0.15,0,0,0,3,48,48,48,144,0.15000181,574.981674229,3789.43156066,0.0142757,35.4508,35.4651
skin,$t_s/h=0.00$,Gyroid,0.15,0,0,0,4,48,48,48,192,0.15002215,593.185372281,4153.57984236,0.0196257,50.5345,50.5541
skin,$t_s/h=0.00$,Gyroid,0.15,0,0,0,5,48,48,48,240,0.15004521,604.187003053,4384.82098593,0.0246139,68.9671,68.9917
skin,$t_s/h=0.00$,Gyroid,0.15,0,0,0,6,48,48,48,288,0.15000181,611.268439988,4541.67239494,0.02892,88.6611,88.69
skin,$t_s/h=0.00$,Gyroid,0.15,0,0,0,8,48,48,48,384,0.15000746,620.425489085,4745.11322488,0.0385374,137.66,137.698
skin,$t_s/h=0.05$,Gyroid,0.15,0.05,0.055555556,3,1,48,48,48,54,0.24449428,2154.9012356,38537.5514756,0.0039526,16.5328,16.5367
skin,$t_s/h=0.05$,Gyroid,0.15,0.05,0.047169811,5,2,48,48,48,106,0.23019032,1932.59407613,34036.165369,0.0103317,25.5403,25.5506
skin,$t_s/h=0.05$,Gyroid,0.15,0.05,0.05,8,3,48,48,48,160,0.23500163,2008.73051758,35553.6490165,0.014633,39.8106,39.8252
skin,$t_s/h=0.05$,Gyroid,0.15,0.05,0.051401869,11,4,48,48,48,214,0.23740305,2045.64025437,36285.4774081,0.0200915,56.5776,56.5977
skin,$t_s/h=0.05$,Gyroid,0.15,0.05,0.04887218,13,5,48,48,48,266,0.2331235,1976.48046981,34911.7505683,0.0307641,74.3945,74.4252
skin,$t_s/h=0.05$,Gyroid,0.15,0.05,0.05,16,6,48,48,48,320,0.23500163,2006.19708727,35506.3654855,0.0327527,90.0944,90.1271
skin,$t_s/h=0.05$,Gyroid,0.15,0.05,0.049295775,21,8,48,48,48,426,0.23380954,1986.44761575,35111.9267177,0.0382606,123.762,123.8
skin,$t_s/h=0.10$,Gyroid,0.15,0.1,0.1,6,1,48,48,48,60,0.32004485,3366.8896213,59648.7667799,0.003372,19.3846,19.388
skin,$t_s/h=0.10$,Gyroid,0.15,0.1,0.1,12,2,48,48,48,120,0.32000145,3361.8234428,59556.0844489,0.010407,34.2776,34.288
skin,$t_s/h=0.10$,Gyroid,0.15,0.1,0.1,18,3,48,48,48,180,0.32000145,3358.77464517,59516.2840694,0.0142462,51.5398,51.554
skin,$t_s/h=0.10$,Gyroid,0.15,0.1,0.1,24,4,48,48,48,240,0.32001772,3357.14392984,59493.5363605,0.0239641,73.0451,73.069
skin,$t_s/h=0.10$,Gyroid,0.15,0.1,0.1,30,5,48,48,48,300,0.32003617,3356.21073311,59479.5381416,0.0243132,89.8067,89.8311
skin,$t_s/h=0.10$,Gyroid,0.15,0.1,0.1,36,6,48,48,48,360,0.32000145,3355.33814842,59467.9902809,0.028903,112.698,112.726
skin,$t_s/h=0.10$,Gyroid,0.15,0.1,0.1,48,8,48,48,48,480,0.32000597,3354.553175,59455.0815917,0.0391664,163.073,163.112
